date,close,open,high,low,volume,trading_value,market_cap,per,pbr,eps,listed_shares,company_name,code,listing_date
2024-05-30,2410.0,2695.0,2900.0,2300.0,31821613,82638639465.0,0.0,0.0,0.0,0.0,0.0,미래에셋비전기업인수목적4호,477380,2024-05-29
2024-06-19,2060.0,3300.0,5060.0,2045.0,123217141,448864966580.0,0.0,0.0,0.0,0.0,0.0,미래에셋비전기업인수목적5호,477470,2024-06-19
2024-06-20,2040.0,2060.0,2080.0,2035.0,2087140,4264285640.0,0.0,0.0,0.0,0.0,0.0,미래에셋비전기업인수목적5호,477470,2024-06-19
2024-06-24,1977.0,3095.0,3815.0,1976.0,61043665,182358301048.0,0.0,0.0,0.0,0.0,0.0,미래에셋비전기업인수목적6호,478440,2024-06-24
2024-06-25,1989.0,1986.0,1990.0,1977.0,1372678,2719173095.0,0.0,0.0,0.0,0.0,0.0,미래에셋비전기업인수목적6호,478440,2024-06-24
2024-09-11,1984.0,2740.0,3225.0,1981.0,71570249,185943657669.0,0.0,0.0,0.0,0.0,0.0,미래에셋비전기업인수목적7호,482680,2024-09-11
2024-09-12,1989.0,1990.0,1996.0,1983.0,1969099,3910867098.0,0.0,0.0,0.0,0.0,0.0,미래에셋비전기업인수목적7호,482680,2024-09-11
2023-03-02,29400.0,42000.0,54600.0,29400.0,4523111,154771594150.0,0.0,0.0,0.0,0.0,0.0,바이오인프라,199730,2023-03-02
2023-03-03,28700.0,30150.0,30600.0,28050.0,1088642,31853344900.0,0.0,0.0,0.0,0.0,0.0,바이오인프라,199730,2023-03-02
2024-08-12,15750.0,15990.0,19800.0,14320.0,38800121,666077573360.0,0.0,0.0,0.0,0.0,0.0,뱅크웨어글로벌,199480,2024-08-12
2024-08-13,12800.0,15010.0,15180.0,12250.0,10468307,141606894970.0,0.0,0.0,0.0,0.0,0.0,뱅크웨어글로벌,199480,2024-08-12
2023-07-26,11700.0,23600.0,24800.0,11410.0,18037660,327800628920.0,0.0,0.0,0.0,0.0,0.0,버넥트,438700,2023-07-26
2023-07-27,10870.0,12000.0,13450.0,10560.0,7060646,87396381730.0,0.0,0.0,0.0,0.0,0.0,버넥트,438700,2023-07-26
2024-12-16,7730.0,9960.0,10640.0,6900.0,66964153,587527101610.0,0.0,0.0,0.0,0.0,0.0,벡트,457600,2024-12-16
2024-12-17,6300.0,8150.0,8290.0,6110.0,13399127,99501935230.0,0.0,0.0,0.0,0.0,0.0,벡트,457600,2024-12-16
2023-07-24,32600.0,54500.0,69200.0,32600.0,7348742,407995654400.0,0.0,0.0,0.0,0.0,0.0,뷰티스킨,406820,2023-07-24
